790792.9628008753	1985
796762.1513671875	1986
840707.0230769231	1987
910291.6354733406	1988
1032258.8349410504	1989
1117323.654736842	1990
1719930.9078947369	1991
2132759.3596311477	1992
2410744.5110047846	1993
2618619.5848303395	1994
2911685.6774193547	1995
2868270.9873046875	1996
3302033.524878049	1997
3560149.888118812	1998
4040800.4771825396	1999
4960555.829831933	2000
5869515.220391349	2001
6322282.337704918	2002
6864536.293736501	2003
6930888.181619256	2004
7544068.468271335	2005
7364523.061403509	2006
7491047.782887701	2007
8375126.798423423	2008
8343213.118581907	2009
8970580.067620287	2010
9426656.482093664	2011
1.0668223734059097E7	2012
1.1541896877442274E7	2013
